date,VS2,VIX2,CV_vs,CV_vix,VP_vs,VP_vix,RV22_fwd
2016-08-10,12.654447624533333,12.100208333333335,11.828049808996875,11.557439327102268,0.826397815536458,0.542769006231067,10.743431593343413
2016-08-11,11.740795058008333,11.368533333333332,12.597446820191315,12.012699041123067,-0.8566517621829828,-0.6441657077897354,12.471485615231611
2016-08-12,11.289112263075,11.116875,12.151730944368962,11.698557900182571,-0.8626186812939629,-0.581682900182571,12.626195542704224
2016-08-15,11.509869638700001,11.623008333333333,11.68647033047632,11.352728698765265,-0.17660069177631854,0.2702796345680678,13.91926610247416
2016-08-16,12.874766124675,13.314133333333336,11.872608730113738,11.683944276618293,1.0021573945612623,1.630189056715043,13.795421031803127
2016-08-17,12.486085233075,12.383008333333331,12.801958723529868,12.732495820348051,-0.3158734904548677,-0.34948748701472,13.77697638533157
2016-08-18,11.285232886408336,10.887075000000001,12.435013841801904,12.098878868176635,-1.1497809553935685,-1.2118038681766343,13.756171094839345
2016-08-19,11.0993259312,10.716299999999999,11.70683018498809,11.246551343298199,-0.6075042537880915,-0.5302513432982003,15.153711280677353
2016-08-22,12.65058675,12.546075,11.57268525975319,11.132073064166722,1.077901490246811,1.4140019358332783,15.46329642515964
2016-08-23,12.985045458008335,12.772033333333335,12.492363582996601,12.139619528527856,0.49268187501173344,0.6324138048054788,15.657221829979973
2016-08-24,12.985045458008335,15.07520833333333,12.69998547047506,12.259870266361204,0.2850599875332751,2.815338066972126,16.152402628040353
2016-08-25,16.434125016408334,15.481408333333334,12.874161823588551,13.709862396910674,3.559963192819783,1.77154593642266,16.516760484744967
2016-08-26,16.339750630208336,15.526875000000002,14.780329096171528,13.793078064922577,1.559421534036808,1.7337969350774252,16.70173871190919
2016-08-29,14.2080616128,13.95363333333333,14.766965505143446,13.857821677391927,-0.5589038923434462,0.09581165594140373,16.920897987687997
2016-08-30,14.115309796874998,14.344533333333331,13.662583127500884,13.142561492877757,0.45272666937411365,1.201971840455574,17.199162484878702
2016-08-31,15.274248520833334,15.008033333333332,13.438010184412153,13.223645525628019,1.8362383364211805,1.784387807705313,17.241895746859804
2016-09-01,15.649397005208334,15.142533333333335,14.152987956238015,13.598516028366806,1.4964090489703192,1.5440173049665287,17.386969107705152
