date,front_price,vix_spot,vix_basis,total_oi,rolling_oi,ts_slope,ts_spread,log_ts
2011-06-10,18.9,18.86,0.03999999999999915,244038.0,151147.4344262295,0.2380952380952381,4.5,0.2135741002980591
2011-06-17,21.45,21.85,-0.40000000000000213,226666.0,154526.8606557377,0.1771561771561772,3.8000000000000007,0.16310151034734285
2011-06-24,21.05,21.1,-0.05000000000000071,213844.0,157034.02040816325,0.20665083135391912,4.349999999999998,0.1878486138961003
2011-07-01,16.95,15.87,1.08,224112.0,159735.0448979592,0.36873156342182895,6.25,0.31388444484580497
2011-07-08,17.1,15.95,1.1500000000000021,228985.0,162150.38524590165,0.3391812865497074,5.799999999999997,0.2920584470515797
2011-07-15,20.15,19.53,0.6199999999999974,230947.0,165181.70491803277,0.1910669975186105,3.8500000000000014,0.17484954195525373
2011-07-22,18.25,17.52,0.7300000000000004,215160.0,167811.21721311475,0.284931506849315,5.199999999999999,0.25070541486378783
2011-07-29,21.1,25.25,-4.149999999999999,216864.0,170235.60655737706,0.12796208530805683,2.6999999999999993,0.12041254019540809
2011-08-05,29.15,32.0,-2.8500000000000014,202694.0,172417.11475409835,-0.11149228130360206,-3.25,-0.11821194409100938
2011-08-12,35.0,36.36,-1.3599999999999994,201353.0,174612.36475409835,-0.23285714285714282,-8.149999999999999,-0.2650822405345399
2011-08-19,35.35,43.05,-7.699999999999996,151988.0,176208.92213114753,-0.16124469589816132,-5.700000000000003,-0.17583626689884746
2011-08-26,34.0,35.59,-1.5900000000000034,163642.0,177041.77551020408,-0.09705882352941178,-3.3000000000000007,-0.1020978700230099
2011-09-02,34.5,33.92,0.5799999999999983,167406.0,178002.5836734694,-0.11014492753623191,-3.8000000000000007,-0.11669666944416268
2011-09-09,38.55,38.52,0.02999999999999403,167236.0,179157.2336065574,-0.17250324254215302,-6.649999999999999,-0.18935009021853955
2011-09-16,32.05,30.98,1.0699999999999967,180478.0,180255.0655737705,-0.03120124804992189,-0.9999999999999964,-0.031698374987191136
2011-09-23,39.1,41.25,-2.1499999999999986,147986.0,181195.95081967214,-0.14705882352941177,-5.75,-0.1590646946296874
2011-09-30,42.15,42.96,-0.8100000000000023,148002.0,181644.68852459016,-0.18505338078291808,-7.799999999999997,-0.20463266577950606
2011-10-07,37.95,36.2,1.75,150321.0,181988.59016393442,-0.10803689064558633,-4.100000000000001,-0.11433050448335494
2011-10-14,29.75,28.24,1.5100000000000016,154652.0,182620.43032786885,0.023529411764705858,0.6999999999999993,0.023256862164267183
2011-10-21,31.6,31.32,0.28000000000000114,128183.0,182612.118852459,-0.02373417721518987,-0.75,-0.024020370241469625
2011-10-28,26.25,24.53,1.7199999999999989,141873.0,182394.75,0.047619047619047616,1.25,0.04652001563489291
2011-11-04,31.4,30.16,1.2399999999999984,133953.0,181925.93852459016,-0.03821656050955412,-1.1999999999999993,-0.03896596853338372
2011-11-11,31.4,30.04,1.3599999999999994,138252.0,181793.49180327868,-0.01592356687898089,-0.5,-0.0160517090105079
2011-11-18,32.35,32.0,0.3500000000000014,129410.0,181420.63673469386,0.0077279752704791345,0.25,0.007698267425752336
2011-11-25,34.5,34.47,0.030000000000001137,137220.0,181344.9262295082,-0.010144927536231925,-0.3500000000000014,-0.010196738020515093
2011-12-02,27.8,27.52,0.28000000000000114,149986.0,181163.93032786885,0.1079136690647482,3.0,0.10247866928293739
2011-12-09,27.2,26.38,0.8200000000000003,147583.0,181168.0737704918,0.1397058823529412,3.8000000000000007,0.13077023118319456
2011-12-16,26.1,24.29,1.8100000000000023,156129.0,181243.77959183673,0.19923371647509575,5.199999999999999,0.18168278321745973
2011-12-23,25.7,20.73,4.969999999999999,129065.0,181146.31836734695,0.151750972762646,3.900000000000002,0.14128336942884068
2011-12-30,26.7,23.4,3.3000000000000007,125881.0,180852.79918032786,0.11423220973782774,3.0500000000000007,0.10816556658543487
2012-01-06,23.05,20.63,2.4200000000000017,130059.0,180316.40983606558,0.2212581344902385,5.099999999999998,0.19988158514304175
2012-01-13,22.55,20.91,1.6400000000000006,147097.0,180099.04508196723,0.2549889135254989,5.75,0.2271267387005045
2012-01-20,21.85,18.28,3.5700000000000003,145388.0,179807.91769547324,0.2700228832951944,5.899999999999999,0.23903491865084436
2012-01-27,20.15,18.53,1.6199999999999974,168882.0,179320.17283950618,0.3424317617866006,6.900000000000002,0.29448271689979866
2012-02-03,17.95,17.1,0.8499999999999979,190249.0,179282.86419753087,0.47632311977715885,8.55,0.3895546180578887
2012-02-10,21.75,20.79,0.9600000000000009,205247.0,179927.72540983607,0.2666666666666667,5.800000000000001,0.23638877806423034
2012-02-17,22.6,17.78,4.82,196115.0,180664.87704918033,0.2920353982300884,6.599999999999998,0.2562188029959957
2012-02-24,21.2,17.31,3.8900000000000006,219947.0,181235.90534979425,0.38679245283018865,8.2,0.32699349266666916
2012-03-02,20.4,17.29,3.1099999999999994,265366.0,182351.37860082305,0.4240196078431374,8.650000000000002,0.3534835824477496
2012-03-09,19.05,17.11,1.9400000000000013,280580.0,184435.93827160494,0.48556430446194226,9.25,0.39579470307648196
2012-03-16,16.15,14.47,1.679999999999998,343573.0,187288.82716049382,0.6965944272445821,11.25,0.528622963725359
2012-03-23,17.0,14.82,2.1799999999999997,314562.0,190363.24691358025,0.5764705882352942,9.8,0.4551885434605949
2012-03-30,16.8,15.5,1.3000000000000007,296124.0,192671.43209876542,0.5327380952380951,8.95,0.4270557407005318
2012-04-06,18.45,16.7,1.75,314263.0,194418.85596707818,0.4119241192411925,7.600000000000001,0.3449533977128397
2012-04-13,19.95,19.55,0.3999999999999986,333846.0,197132.10288065844,0.3834586466165415,7.650000000000002,0.324586629387232
2012-04-20,19.7,17.44,2.259999999999998,303418.0,199246.02880658436,0.34771573604060924,6.850000000000001,0.298411111944005
2012-04-27,18.05,16.32,1.7300000000000004,312561.0,200923.4814814815,0.4349030470914126,7.849999999999998,0.361097283926602
2012-05-04,20.0,19.16,0.8399999999999999,331316.0,202670.11934156378,0.30250000000000005,6.050000000000001,0.2642854946453849
2012-05-11,20.1,19.89,0.21000000000000085,329526.0,204500.69958847738,0.3233830845771144,6.5,0.28019140072262333
2012-05-18,28.2,25.1,3.099999999999998,298974.0,206071.01229508198,0.04255319148936168,1.1999999999999993,0.04167269640056808
2012-05-25,24.55,21.76,2.789999999999999,272818.0,206859.90163934426,0.1425661914460285,3.5,0.13327677772817578
2012-06-01,27.75,26.66,1.0899999999999999,276247.0,207225.45679012345,0.07567567567567572,2.1000000000000014,0.07294899964616769
2012-06-08,21.7,21.23,0.46999999999999886,294100.0,208519.32510288066,0.2811059907834102,6.100000000000001,0.24772376015017752
2012-06-15,21.5,21.11,0.39000000000000057,316443.0,210493.7695473251,0.32093023255813946,6.899999999999999,0.27833621003354325
2012-06-22,21.85,18.11,3.740000000000002,318771.0,212736.95901639343,0.36155606407322644,7.899999999999999,0.3086282104500396
2012-06-29,19.55,17.08,2.4700000000000024,317007.0,214452.95081967214,0.41432225063938605,8.099999999999998,0.3466504415369689
2012-07-06,18.25,17.1,1.1499999999999986,331633.0,216095.80246913582,0.4520547945205479,8.25,0.372979652963676
2012-07-13,17.45,16.74,0.7100000000000009,340084.0,218525.11111111112,0.4756446991404012,8.3,0.3890949784613091
2012-07-20,19.15,16.27,2.879999999999999,333932.0,221051.93827160494,0.37336814621409936,7.150000000000002,0.317266223557064
2012-07-27,18.6,16.7,1.9000000000000021,315104.0,223494.69958847738,0.4112903225806451,7.649999999999999,0.34450440831847706
2012-08-03,17.2,15.64,1.5599999999999987,325803.0,226079.04938271604,0.5261627906976745,9.05,0.42275660521822545
2012-08-10,16.35,14.74,1.6100000000000012,351765.0,229838.87242798353,0.581039755351682,9.5,0.45808270361117576
2012-08-17,15.1,13.45,1.6500000000000004,388282.0,234125.40329218106,0.7251655629139073,10.950000000000001,0.5453230243784973
2012-08-24,18.55,15.18,3.370000000000001,366087.0,238180.56147540984,0.504043126684636,9.349999999999998,0.40815689977387565
2012-08-31,18.95,17.47,1.4800000000000004,365620.0,242212.59836065574,0.45910290237467016,8.7,0.3778217964399085
2012-09-07,15.1,14.38,0.7199999999999989,402664.0,246005.65432098764,0.7119205298013246,10.750000000000002,0.5376158571335596
2012-09-14,15.75,14.51,1.2400000000000002,429193.0,251496.24691358025,0.561904761904762,8.850000000000001,0.44590607766667506
2012-09-21,16.05,13.98,2.0700000000000003,392507.0,256813.2181069959,0.5420560747663551,8.7,0.43311663943867434
2012-09-28,16.4,15.73,0.6699999999999982,384291.0,261716.06995884774,0.49390243902439035,8.100000000000001,0.4013917827205287
2012-10-05,15.75,14.33,1.42,407720.0,266821.2839506173,0.4952380952380953,7.800000000000001,0.4022854551907847
2012-10-12,16.65,16.14,0.509999999999998,419966.0,272621.8065843621,0.3753753753753754,6.25,0.3187266941337412
2012-10-19,17.6,17.06,0.5400000000000027,389616.0,277996.2510288066,0.33806818181818177,5.949999999999999,0.29122691841832055
2012-10-26,18.25,17.81,0.4400000000000013,361488.0,282831.25514403294,0.2657534246575343,4.850000000000001,0.23566753749924746
2012-11-02,17.8,17.59,0.21000000000000085,377862.0,287016.83817427384,0.30056179775280883,5.349999999999998,0.26279632323420343
2012-11-09,18.6,18.61,-0.00999999999999801,375058.0,292143.2531120332,0.2580645161290321,4.799999999999997,0.2295744416445
