date,Logic Gate,Buy-and-Hold,MA Trend,Model_A_d5bps,Model_A_d10bps,Model_A_d20bps,Model_B_d5bps,Model_B_d10bps,Model_B_d20bps,Model_C_d5bps,Model_C_d10bps,Model_C_d20bps
2006-11-03,-0.0,-0.002005469462,0.002005469462,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-11-06,0.0,0.01114358787,-0.01114358787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-07,0.0,0.00379403794,-0.00379403794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-08,0.0,0.001799856012,-0.001799856012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-09,-0.0,-0.00538986705,0.00538986705,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-11-10,0.0,0.000541907514,-0.000541907514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-13,0.0,0.002346994042,-0.002346994042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-14,0.0,0.007024495677,-0.007024495677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-15,0.0,0.002682883205,-0.002682883205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-16,0.0,0.002497324295,-0.002497324295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-17,-0.0,-0.000177935943,0.000177935943,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-11-20,0.0,0.00035593522,-0.00035593522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-21,0.0,0.00071161715,-0.00071161715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-22,0.0,0.0016,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-24,-0.0,-0.00390486333,0.00390486333,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-11-27,-0.0,-0.013898788311,0.013898788311,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-11-28,0.0,0.003614022407,-0.003614022407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-29,0.0,0.009902772776,-0.009902772776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-30,0.0,0.000534854698,-0.000534854698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,-0.0,-0.001781895937,0.001781895937,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-12-04,0.0,0.007318814709,-0.007318814709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-05,0.0,0.004253056885,-0.004253056885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-06,-0.0,-0.001411681666,0.001411681666,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-12-07,-0.0,-0.004241031984,0.004241031984,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
